"codeID","code","selfirst","seltext","selend","fileID"
68,"partnership with private institutions",110,"A Secretaria da Educação do Estado do Ceará (Seduc-CE), com o apoio ‎
do Instituto Unibanco (IU) e do Cientista-Chefe da Educação, constituiu, no ‎
início de 2020, um comitê de gestão da crise.",303,10
27,"creation of management units",110,"A Secretaria da Educação do Estado do Ceará (Seduc-CE), com o apoio ‎
do Instituto Unibanco (IU) e do Cientista-Chefe da Educação, constituiu, no ‎
início de 2020, um comitê de gestão da crise.‎",304,10
4,"guidelines to remote learning",396,"a Seduc-CE ‎ construiu documentos norteadores, a saber:‎
‎-‎	Diretrizes para o período de suspensão das atividades educacionais ‎
presenciais;‎
‎-‎	Materiais de apoio e suporte para as atividades domiciliares - Chamada
Pública;‎
‎-‎	Orientações do Parecer CEE n° 299/2020.‎",669,10
4,"guidelines to remote learning",676,"Para o compartilhamento de práticas a fim de subsidiar o processo de ‎
ensino remoto/híbrido:‎
‎-‎	Guia de apoio aos estudos domiciliares;‎
‎-‎	Diretrizes operacionais para organização do trabalho escolar durante o ‎
segundo semestre e das atividades letivas do ano de 2020;‎
‎-‎	Plano acolhimento aos gestores escolares;‎
‎-‎	Guia de possibilidades de organização pedagógica;‎
‎-‎	Diretrizes	operacionais	para	implementação	do	parecer
	CEE	N°‎
‎299/2020.‎",1132,10
4,"guidelines to remote learning",1133,"Para orientar a implantação do currículo:‎
‎-‎	Matriz de Conhecimentos Básicos;‎
‎-‎	Orientações Curriculares Prioritárias do Ceará;‎
‎-‎	Guia de Possibilidades de Organização para Ensino Remoto/Híbrido.‎",1337,10
4,"guidelines to remote learning",1344,"Em 2021, a Seduc disponibilizou as orientações e materiais de ‎
comunicação para o ano letivo:‎
‎-‎	Diretrizes do Ano Letivo de 2021;‎
‎-‎	Acolhimento aos Novos Professores da Rede Pública Estadual do ‎
Ceará;‎
‎-‎	Orientações sobre a Atuação do Agente de Gestão da Inovação ‎
Educacional (AGI).‎
",1641,10
27,"creation of management units",1687,"a inserção da Coordenadoria ‎
Estadual de Formação Docente e Educação a Distância (Coded/CED)‎ ‎ na ‎
estrutura organizacional da Seduc em 2018. A Coded/CED tem como ‎
competência central o apoio à inovação e à modernização do processo de ‎
ensino e aprendizagem fomentado pela formação docente ofertada, ‎
sistematicamente, à rede de estabelecimentos de ensino públicos estaduais e ‎
municipais, com o apoio das Coordenadorias Regionais de Desenvolvimento ‎
da Educação (Credes), da Superintendência das Escolas Estaduais de ‎
Fortaleza (Sefor) e das Secretarias Municipais de Educação, por meio do ‎
regime de colaboração.‎",2312,10
27,"creation of management units",2320,"Este ano, foi constituído o Grupo de Alinhamento da Educação Híbrida ‎
‎(GAEH) com o intuito de construir um Projeto de Educação Híbrida (PEH) para ‎
os próximos 10 anos.‎",2491,10
54,"monitoring access",331,"acesso, interação e ‎
aprendizagem.‎
      O indicador de interação e acesso corresponde ao número de alunas/os ‎
alcançadas/os. Na rede, esse indicador, para o corte de abril de 2021, aferido ‎
pelo Sistema de Acompanhamento Monitoramento Individual dos Alunos na ‎
Educação Remota, corresponde a 72,36%, isso ocorre pelo fato do ‎
planejamento escolar considerar as condições de acesso das/os estudantes. ‎",739,11
15,"academic achievements",832," Em relação à aprendizagem, obteve-se um avanço nos níveis de ‎
proficiência em Língua Portuguesa (LP) e Matemática (MAT) na Avaliação ‎
Diagnóstica de entrada realizada pelas escolas. Ao comparar-se 2020/2021, ‎
identifica-se o crescimento de 3,0 pontos em Língua Portuguesa e de 3,9 ‎
pontos em Matemática.‎",1141,11
