"codeID","code","selfirst","selend","caseID","caseName","catID","catName","fileID"
68,"partnership with private institutions",110,303,5,"02.A-Remote",9,"partnership",10
68,"partnership with private institutions",110,303,5,"02.A-Remote",15,"collaboration",10
68,"partnership with private institutions",110,303,5,"02.A-Remote",18,"vision",10
68,"partnership with private institutions",110,303,8,"02.D-Remote (Strategies)",9,"partnership",10
68,"partnership with private institutions",110,303,8,"02.D-Remote (Strategies)",15,"collaboration",10
68,"partnership with private institutions",110,303,8,"02.D-Remote (Strategies)",18,"vision",10
68,"partnership with private institutions",110,303,9,"02.E-Remote (Strategies: Vision)",9,"partnership",10
68,"partnership with private institutions",110,303,9,"02.E-Remote (Strategies: Vision)",15,"collaboration",10
68,"partnership with private institutions",110,303,9,"02.E-Remote (Strategies: Vision)",18,"vision",10
27,"management units",110,304,5,"02.A-Remote",14,"development",10
27,"management units",110,304,5,"02.A-Remote",15,"collaboration",10
27,"management units",110,304,5,"02.A-Remote",18,"vision",10
27,"management units",110,304,8,"02.D-Remote (Strategies)",14,"development",10
27,"management units",110,304,8,"02.D-Remote (Strategies)",15,"collaboration",10
27,"management units",110,304,8,"02.D-Remote (Strategies)",18,"vision",10
27,"management units",110,304,9,"02.E-Remote (Strategies: Vision)",14,"development",10
27,"management units",110,304,9,"02.E-Remote (Strategies: Vision)",15,"collaboration",10
27,"management units",110,304,9,"02.E-Remote (Strategies: Vision)",18,"vision",10
4,"guidelines to remote learning",396,669,5,"02.A-Remote",14,"development",10
4,"guidelines to remote learning",396,669,5,"02.A-Remote",18,"vision",10
4,"guidelines to remote learning",396,669,8,"02.D-Remote (Strategies)",14,"development",10
4,"guidelines to remote learning",396,669,8,"02.D-Remote (Strategies)",18,"vision",10
4,"guidelines to remote learning",396,669,9,"02.E-Remote (Strategies: Vision)",14,"development",10
4,"guidelines to remote learning",396,669,9,"02.E-Remote (Strategies: Vision)",18,"vision",10
4,"guidelines to remote learning",676,1132,5,"02.A-Remote",14,"development",10
4,"guidelines to remote learning",676,1132,5,"02.A-Remote",18,"vision",10
4,"guidelines to remote learning",676,1132,8,"02.D-Remote (Strategies)",14,"development",10
4,"guidelines to remote learning",676,1132,8,"02.D-Remote (Strategies)",18,"vision",10
4,"guidelines to remote learning",676,1132,9,"02.E-Remote (Strategies: Vision)",14,"development",10
4,"guidelines to remote learning",676,1132,9,"02.E-Remote (Strategies: Vision)",18,"vision",10
4,"guidelines to remote learning",1133,1337,5,"02.A-Remote",14,"development",10
4,"guidelines to remote learning",1133,1337,5,"02.A-Remote",18,"vision",10
4,"guidelines to remote learning",1133,1337,8,"02.D-Remote (Strategies)",14,"development",10
4,"guidelines to remote learning",1133,1337,8,"02.D-Remote (Strategies)",18,"vision",10
4,"guidelines to remote learning",1133,1337,9,"02.E-Remote (Strategies: Vision)",14,"development",10
4,"guidelines to remote learning",1133,1337,9,"02.E-Remote (Strategies: Vision)",18,"vision",10
4,"guidelines to remote learning",1344,1641,5,"02.A-Remote",14,"development",10
4,"guidelines to remote learning",1344,1641,5,"02.A-Remote",18,"vision",10
4,"guidelines to remote learning",1344,1641,8,"02.D-Remote (Strategies)",14,"development",10
4,"guidelines to remote learning",1344,1641,8,"02.D-Remote (Strategies)",18,"vision",10
4,"guidelines to remote learning",1344,1641,9,"02.E-Remote (Strategies: Vision)",14,"development",10
4,"guidelines to remote learning",1344,1641,9,"02.E-Remote (Strategies: Vision)",18,"vision",10
27,"management units",1687,2312,5,"02.A-Remote",14,"development",10
27,"management units",1687,2312,5,"02.A-Remote",15,"collaboration",10
27,"management units",1687,2312,5,"02.A-Remote",18,"vision",10
27,"management units",1687,2312,8,"02.D-Remote (Strategies)",14,"development",10
27,"management units",1687,2312,8,"02.D-Remote (Strategies)",15,"collaboration",10
27,"management units",1687,2312,8,"02.D-Remote (Strategies)",18,"vision",10
27,"management units",1687,2312,9,"02.E-Remote (Strategies: Vision)",14,"development",10
27,"management units",1687,2312,9,"02.E-Remote (Strategies: Vision)",15,"collaboration",10
27,"management units",1687,2312,9,"02.E-Remote (Strategies: Vision)",18,"vision",10
27,"management units",2320,2491,5,"02.A-Remote",14,"development",10
27,"management units",2320,2491,5,"02.A-Remote",15,"collaboration",10
27,"management units",2320,2491,5,"02.A-Remote",18,"vision",10
27,"management units",2320,2491,8,"02.D-Remote (Strategies)",14,"development",10
27,"management units",2320,2491,8,"02.D-Remote (Strategies)",15,"collaboration",10
27,"management units",2320,2491,8,"02.D-Remote (Strategies)",18,"vision",10
27,"management units",2320,2491,9,"02.E-Remote (Strategies: Vision)",14,"development",10
27,"management units",2320,2491,9,"02.E-Remote (Strategies: Vision)",15,"collaboration",10
27,"management units",2320,2491,9,"02.E-Remote (Strategies: Vision)",18,"vision",10
54,"num of access",331,739,5,"02.A-Remote",12,"assess",11
54,"num of access",331,739,5,"02.A-Remote",18,"vision",11
54,"num of access",331,739,5,"02.A-Remote",19,"material",11
54,"num of access",331,739,7,"02.C-Remote (Evidence)",12,"assess",11
54,"num of access",331,739,7,"02.C-Remote (Evidence)",18,"vision",11
54,"num of access",331,739,7,"02.C-Remote (Evidence)",19,"material",11
15,"academic achievements",832,1141,5,"02.A-Remote",12,"assess",11
15,"academic achievements",832,1141,5,"02.A-Remote",18,"vision",11
15,"academic achievements",832,1141,7,"02.C-Remote (Evidence)",12,"assess",11
15,"academic achievements",832,1141,7,"02.C-Remote (Evidence)",18,"vision",11
52,"schools actions reports",1195,1271,5,"02.A-Remote",12,"assess",11
52,"schools actions reports",1195,1271,5,"02.A-Remote",18,"vision",11
52,"schools actions reports",1195,1271,7,"02.C-Remote (Evidence)",12,"assess",11
52,"schools actions reports",1195,1271,7,"02.C-Remote (Evidence)",18,"vision",11
