"codeID","code","selfirst","selend","catID","catName","fileID","fileCatID","fileCat"
68,"partnership with private institutions",110,303,9,"partnership",10,1,"All five States"
68,"partnership with private institutions",110,303,15,"collaboration",10,1,"All five States"
68,"partnership with private institutions",110,303,18,"vision",10,1,"All five States"
68,"partnership with private institutions",110,303,9,"partnership",10,3,"Ceara"
68,"partnership with private institutions",110,303,15,"collaboration",10,3,"Ceara"
68,"partnership with private institutions",110,303,18,"vision",10,3,"Ceara"
27,"management units",110,304,14,"development",10,1,"All five States"
27,"management units",110,304,15,"collaboration",10,1,"All five States"
27,"management units",110,304,18,"vision",10,1,"All five States"
27,"management units",110,304,14,"development",10,3,"Ceara"
27,"management units",110,304,15,"collaboration",10,3,"Ceara"
27,"management units",110,304,18,"vision",10,3,"Ceara"
4,"guidelines to remote learning",396,669,14,"development",10,1,"All five States"
4,"guidelines to remote learning",396,669,18,"vision",10,1,"All five States"
4,"guidelines to remote learning",396,669,14,"development",10,3,"Ceara"
4,"guidelines to remote learning",396,669,18,"vision",10,3,"Ceara"
4,"guidelines to remote learning",676,1132,14,"development",10,1,"All five States"
4,"guidelines to remote learning",676,1132,18,"vision",10,1,"All five States"
4,"guidelines to remote learning",676,1132,14,"development",10,3,"Ceara"
4,"guidelines to remote learning",676,1132,18,"vision",10,3,"Ceara"
4,"guidelines to remote learning",1133,1337,14,"development",10,1,"All five States"
4,"guidelines to remote learning",1133,1337,18,"vision",10,1,"All five States"
4,"guidelines to remote learning",1133,1337,14,"development",10,3,"Ceara"
4,"guidelines to remote learning",1133,1337,18,"vision",10,3,"Ceara"
4,"guidelines to remote learning",1344,1641,14,"development",10,1,"All five States"
4,"guidelines to remote learning",1344,1641,18,"vision",10,1,"All five States"
4,"guidelines to remote learning",1344,1641,14,"development",10,3,"Ceara"
4,"guidelines to remote learning",1344,1641,18,"vision",10,3,"Ceara"
27,"management units",1687,2312,14,"development",10,1,"All five States"
27,"management units",1687,2312,15,"collaboration",10,1,"All five States"
27,"management units",1687,2312,18,"vision",10,1,"All five States"
27,"management units",1687,2312,14,"development",10,3,"Ceara"
27,"management units",1687,2312,15,"collaboration",10,3,"Ceara"
27,"management units",1687,2312,18,"vision",10,3,"Ceara"
27,"management units",2320,2491,14,"development",10,1,"All five States"
27,"management units",2320,2491,15,"collaboration",10,1,"All five States"
27,"management units",2320,2491,18,"vision",10,1,"All five States"
27,"management units",2320,2491,14,"development",10,3,"Ceara"
27,"management units",2320,2491,15,"collaboration",10,3,"Ceara"
27,"management units",2320,2491,18,"vision",10,3,"Ceara"
54,"num of access",331,739,12,"assess",11,1,"All five States"
54,"num of access",331,739,18,"vision",11,1,"All five States"
54,"num of access",331,739,19,"material",11,1,"All five States"
54,"num of access",331,739,12,"assess",11,3,"Ceara"
54,"num of access",331,739,18,"vision",11,3,"Ceara"
54,"num of access",331,739,19,"material",11,3,"Ceara"
15,"academic achievements",832,1141,12,"assess",11,1,"All five States"
15,"academic achievements",832,1141,18,"vision",11,1,"All five States"
15,"academic achievements",832,1141,12,"assess",11,3,"Ceara"
15,"academic achievements",832,1141,18,"vision",11,3,"Ceara"
52,"schools actions reports",1195,1271,12,"assess",11,1,"All five States"
52,"schools actions reports",1195,1271,18,"vision",11,1,"All five States"
52,"schools actions reports",1195,1271,12,"assess",11,3,"Ceara"
52,"schools actions reports",1195,1271,18,"vision",11,3,"Ceara"
69,"everyone learning",1516,1584,16,"promotion",11,1,"All five States"
69,"everyone learning",1516,1584,18,"vision",11,1,"All five States"
69,"everyone learning",1516,1584,16,"promotion",11,3,"Ceara"
69,"everyone learning",1516,1584,18,"vision",11,3,"Ceara"
70,"social competences",1591,1697,16,"promotion",11,1,"All five States"
70,"social competences",1591,1697,18,"vision",11,1,"All five States"
70,"social competences",1591,1697,16,"promotion",11,3,"Ceara"
70,"social competences",1591,1697,18,"vision",11,3,"Ceara"
15,"academic achievements",1760,1979,12,"assess",11,1,"All five States"
15,"academic achievements",1760,1979,18,"vision",11,1,"All five States"
15,"academic achievements",1760,1979,12,"assess",11,3,"Ceara"
15,"academic achievements",1760,1979,18,"vision",11,3,"Ceara"
