fileCat,(Multiple Items),,,,,,,,,,,,,,,,,,,Codes,Goals/Evidence,Strategies,Total,,,,,,,,,,,,,,,,,,,,Codes,Goals,Evidence,Strategies (Vision),Strategies (Infrastructure),Strategies (Expertise),Strategies (Material),Total,,,,,,,,,,,,,,,,,Codes,Adoption,Planning,Investment,Total
,,,,,,,,,,,,,,,,,,,,social/equality program,1,28,29,,,,,,,,,,,,,,,,,,,,trainning courses,,,2,1,2,,5,,,,,,,,,,,,,,,,,management units,2,2,2,6
Count of codeID,Column Labels,,,,,,,,,,,,,,,,,,,democratic/public participation,3,18,21,,,,,,,,,,,,,,,,,,,,education TV,,,1,1,,2,4,,,,,,,,,,,,,,,,,partnership with public institutions,1,1,1,3
Codes,01.A-Plan,01.B-Plan (Goals/Evidence),01.C-Plan (Strategies),02.A-Remote,02.B-Remote (Goals),02.C-Remote (Evidence),02.D-Remote (Strategies),02.E-Remote (Strategies: Vision),02.F-Remote (Strategies: Infrastructure),02.G-Remote (Strategies: Expertise),02.H-Remote (Strategies: Material),03.A-Hybrid,03.B-Hybrid (Adoption),03.C-Hybrid (Planning),03.D-Hybrid (Investment),Grand Total,,,,financial resources,1,19,20,,,,,,,,,,,,,,,,,,,,paper-based material,,,2,,,1,3,,,,,,,,,,,,,,,,,school health resources,1,1,1,3
academic achievements,10,6,4,1,1,,,,,,,,,,,22,,,,meet ed-demand,,16,16,,,,,,,,,,,,,,,,,,,,schools actions reports,1,2,,,,,3,,,,,,,,,,,,,,,,,schools actions reports,1,1,1,3
accessibility facilities,1,1,,,,,,,,,,,,,,2,,,,partnership with public institutions,,15,15,,,,,,,,,,,,,,,,,,,,free Internet access,,,1,1,,,2,,,,,,,,,,,,,,,,,equipment for students,,,1,1
better teacher laboral conditions,5,4,1,,,,,,,,,,,,,10,,,,physical school infrastructure,2,9,11,,,,,,,,,,,,,,,,,,,,Google products,,,,,,2,2,,,,,,,,,,,,,,,,,equipment for teaching,,,1,1
collaboration networks,1,1,,,,,,,,,,,,,,2,,,,teacher career,3,8,11,,,,,,,,,,,,,,,,,,,,learning platforms,,,1,1,,,2,,,,,,,,,,,,,,,,,hire teachers,,,1,1
democratic/public participation,21,3,18,,,,,,,,,,,,,42,,,,trainning courses,1,10,11,,,,,,,,,,,,,,,,,,,,partnership for learning content,,,1,1,,,2,,,,,,,,,,,,,,,,,learning mobile apps,1,,,1
digital competences,4,3,1,,,,,,,,,,,,,8,,,,academic achievements,6,4,10,,,,,,,,,,,,,,,,,,,,partnership with private institutions,,,1,,1,,2,,,,,,,,,,,,,,,,,learning platforms,1,,,1
digital resouces,3,1,2,1,,,1,1,,,,,,,,9,,,,learning in right age,5,4,9,,,,,,,,,,,,,,,,,,,,academic achievements,1,,,,,,1,,,,,,,,,,,,,,,,,trainning courses,,,1,1
