fileCat,All five States,,,,,,,,,,,,,,,,,,,,,code,Goals/Evidence,Strategies,Total,,,,,,,,,,,,,,,,,,,,,,Codes,Goals,Evidence,Strategies (Vision),Strategies (Infrastructure),Strategies (Expertise),Strategies (Material),Total,,,,,,,,,,,,,,,,,,,,,,,,Codes,Adoption,Planning,Investment,Total,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,social/equality program,1,28,29,,,,,,,,,,,,,,,,,,,,,,trainning courses,1,2,3,1,7,,14,,,,,,,,,,,,,,,,,,,,,,,,management units,3,3,2,8,,,,,,,,,,,,
Count of codeID,,,,,,,,,,,,,,,,,,,,,,democratic/public participation,3,18,21,,,,,,,,,,,,,,,,,,,,,,education TV,,,3,3,,4,10,,,,,,,,,,,,,,,,,,,,,,,,equipment for teaching,,,5,5,,,,,,,,,,,,
,01.A-Plan,01.B-Plan (Goals/Evidence),01.C-Plan (Strategies),02.A-Remote,02.B-Remote (Goals),02.C-Remote (Evidence),02.D-Remote (Strategies),02.E-Remote (Strategies: Vision),02.F-Remote (Strategies: Infrastructure),02.G-Remote (Strategies: Expertise),02.H-Remote (Strategies: Material),03.A-Hybrid,03.B-Hybrid (Adoption),03.C-Hybrid (Planning),03.D-Hybrid (Investment),Grand Total,,,,,,financial resources,1,19,20,,,,,,,,,,,,,,,,,,,,,,learning platforms,,1,4,1,,4,10,,,,,,,,,,,,,,,,,,,,,,,,guidelines to remote learning,2,1,,3,,,,,,,,,,,,
academic achievements,10,6,4,5,1,3,1,,,1,,,,,,31,,,,,,meet ed-demand,,16,16,,,,,,,,,,,,,,,,,,,,,,num of access,1,5,,2,,2,10,,,,,,,,,,,,,,,,,,,,,,,,partnership with public institutions,1,1,1,3,,,,,,,,,,,,
accessibility facilities,1,1,,,,,,,,,,,,,,2,,,,,,partnership with public institutions,,15,15,,,,,,,,,,,,,,,,,,,,,,free Internet access,1,,2,5,,1,9,,,,,,,,,,,,,,,,,,,,,,,,school health resources,1,1,1,3,,,,,,,,,,,,
better teacher laboral conditions,5,4,1,,,,,,,,,,,,,10,,,,,,physical school infrastructure,2,9,11,,,,,,,,,,,,,,,,,,,,,,training event,1,1,1,,4,1,8,,,,,,,,,,,,,,,,,,,,,,,,schools actions reports,1,1,1,3,,,,,,,,,,,,
collaboration networks,1,1,,,,,,,,,,,,,,2,,,,,,teacher career,3,8,11,,,,,,,,,,,,,,,,,,,,,,digital competences,2,3,,,2,,7,,,,,,,,,,,,,,,,,,,,,,,,equipment for students,,,2,2,,,,,,,,,,,,
conceptualization of remote learning,,,,,,,,,,,,1,,1,,2,,,,,,trainning courses,1,10,11,,,,,,,,,,,,,,,,,,,,,,guidelines to remote learning,1,,5,,1,,7,,,,,,,,,,,,,,,,,,,,,,,,free Internet access,,,2,2,,,,,,,,,,,,
democratic/public participation,21,3,18,,,,,,,,,,,,,42,,,,,,academic achievements,6,4,10,,,,,,,,,,,,,,,,,,,,,,learning mobile apps,1,,2,2,,2,7,,,,,,,,,,,,,,,,,,,,,,,,learning mobile apps,1,,1,2,,,,,,,,,,,,
digital competences,4,3,1,7,2,3,2,,,2,,,,,,24,,,,,,learning in right age,5,4,9,,,,,,,,,,,,,,,,,,,,,,schools actions reports,1,6,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,learning platforms,1,,1,2,,,,,,,,,,,,
digital resouces,3,1,2,4,,,4,1,,,3,,,,,18,,,,,,school attendance (freq),5,3,8,,,,,,,,,,,,,,,,,,,,,,equipment for teaching,1,,1,4,,,6,,,,,,,,,,,,,,,,,,,,,,,,conceptualization of remote learning,,1,,1,,,,,,,,,,,,
dissemination,5,,5,,,,,,,,,,,,,10,,,,,,technology in pedag practices,2,6,8,,,,,,,,,,,,,,,,,,,,,,Google products,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,ed-tech adoption,1,,,1,,,,,,,,,,,,
ed-tech adoption,,,,2,,1,1,,,1,,1,1,,,7,,,,,,education quality,1,5,6,,,,,,,,,,,,,,,,,,,,,,paper-based material,,,4,1,,1,6,,,,,,,,,,,,,,,,,,,,,,,,everyone learning,1,,,1,,,,,,,,,,,,
education quality,6,1,5,,,,,,,,,,,,,12,,,,,,internet infrastructure in schools,2,4,6,,,,,,,,,,,,,,,,,,,,,,academic achievements,1,3,,,1,,5,,,,,,,,,,,,,,,,,,,,,,,,hire teachers,,,1,1,,,,,,,,,,,,
education radio,,,,1,,,1,1,,,,,,,,3,,,,,,better teacher laboral conditions,4,1,5,,,,,,,,,,,,,,,,,,,,,,learning contents,2,1,,,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,learning contents,,,1,1,,,,,,,,,,,,
education TV,,,,10,,,10,3,3,,4,,,,,30,,,,,,dissemination,,5,5,,,,,,,,,,,,,,,,,,,,,,partnership with private institutions,,,3,,2,,5,,,,,,,,,,,,,,,,,,,,,,,,media access,,1,,1,,,,,,,,,,,,
enrollments in adult education,3,3,,,,,,,,,,,,,,6,,,,,,enrollments in higher education,5,,5,,,,,,,,,,,,,,,,,,,,,,digital resouces,,,1,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,partnership for learning content,,,1,1,,,,,,,,,,,,
enrollments in higher education,5,5,,,,,,,,,,,,,,10,,,,,,equipment for teaching,2,3,5,,,,,,,,,,,,,,,,,,,,,,management units,1,,3,,,,4,,,,,,,,,,,,,,,,,,,,,,,,training in innovative pedagogical practices,1,,,1,,,,,,,,,,,,
enrollments in nurseries,2,2,,,,,,,,,,,,,,4,,,,,,extracurricular activities,,5,5,,,,,,,,,,,,,,,,,,,,,,num of subscription for training,,3,,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,trainning courses,,,1,1,,,,,,,,,,,,
